Attributr	Parameter	2.10	2.8	2.3	2.1	1.1	1.2	3.2
abastec	mean	0.021964123292485867	0.0	0.0	0.003273955613475394	0.0	0.0	0.0
abastec	standard deviation	0.046944091187847446	0.001	0.001	0.01636977806737697	0.001	0.001	0.001
abog	mean	0.0	0.0	0.0	0.004119209131017886	0.01707746428665488	0.029826617165109273	0.0
abog	standard deviation	0.001	0.001	0.001	0.02059604565508943	0.048467004028050785	0.06373721123250624	0.001
absolut	mean	0.0	0.0	0.0	0.003990351842027498	0.0	0.0018416689604721466	0.0013207754639814242
absolut	standard deviation	0.001	0.001	0.001	0.01627350036562795	0.001	0.011501218971861014	0.004941889271075875
academi	mean	0.0	0.0	0.0	0.004410739219222244	0.0	0.0	0.0
academi	standard deviation	0.001	0.001	0.001	0.015266818582952747	0.001	0.001	0.001
acces	mean	0.012132614939180634	0.019063067753847182	8.170887642025982E-4	9.993328132649796E-4	0.0	0.008665390570140076	0.0029339874920281997
acces	standard deviation	0.029156859778033506	0.044277396853877146	0.00541995370255039	0.0049966640663248975	0.001	0.0260128746734495	0.010977975972249664
accion	mean	0.011055068796054475	0.00869124966842684	0.011071541960357166	0.006621747157421733	0.007849302226162308	0.004129981564346228	0.0018875124004556318
accion	standard deviation	0.03794117756504992	0.024404422562323447	0.02540999582234893	0.021038501942178482	0.019207649839475493	0.013306102753133698	0.0049970184776099
aceit	mean	0.017933910260390807	0.0	0.0	0.0	0.0	0.0	0.0
aceit	standard deviation	0.05809528527124587	0.001	0.001	0.001	0.001	0.001	0.001
acentu	mean	0.0036601126977447414	0.0	0.0	0.0	0.0	0.0	0.0
acentu	standard deviation	0.01236394679352263	0.001	0.001	0.001	0.001	0.001	0.001
acept	mean	0.0	0.0	0.003183595279071773	0.008689497141528496	0.0	0.0	0.0
acept	standard deviation	0.001	0.001	0.01528884779266658	0.025229257566123847	0.001	0.001	0.001
acer	mean	0.0	0.0	0.003729752149499511	0.0	0.0	0.0	0.017392674254162088
