;autor;contenido;derecho;fecha;fechaPublicacion;idPeriodico;imagen;palabrasClaves;periodico;seccion;subtitular;titular;url
0;EL NACIONAL;Vecinos de la parroquia Los Chorros protestan este lunes por la falta de agua que presentan en la zona desde hace más de tres meses.|Reportes de Twitter indican que los afectados por la situación han tenido que pagar hasta 150 dólares por una cisterna o han subido al Ávila para recoger agua.|'Las personas que manejan los camiones cisternas nos dicen que están obligados a llevarles agua hasta sus casas a los militares y a los del gobierno pero a nosotros no', denunciaron.|Los vecinos exigen a Hidrocapital que se aboque a solventar el problema. “Todos los días nos dicen que más tarde la ponen, que mañana y nunca la ponen'.|En ese sentido, también denuncian que debido a la falta del servicio hay adultos mayores y niños enfermos de dengue y otras afecciones.;3.2;18/03/2019;2019-03-77T09:47:00-0400;275130;;Agua, Servicios, Protestas;EN;Protestas;Los afectados por la situación exigen respuesta de Hidrocapital ;Vecinos de Los Chorros protestan por falta de agua;http://www.el-nacional.com/noticias/protestas/vecinos-los-chorros-protestan-por-falta-agua_275130
1;El Nacional;Cada vez es mayor la cantidad de venezolanos que buscan alternativas que les permitan escapar de la hiperinflación que hay en el país, entre las que se encuentran algunas plataformas digitales.|Una de ellas es la startup mexicana Airtm, que tiene su principal mercado en Venezuela. La plataforma le permite a los ciudadanos ahorrar en moneda extranjera, reseñó El País de España.|Los venezolanos pueden depositar sus ahorros en bolívares en una cuenta de la Airtm y enviar una solicitud a otros usuarios que se dedican a cambiar la moneda.|La plataforma también permite enviar remesas o hacer pagos internacionales. “Para mí es un banco, allí guardo todos mis ingresos en dólares”, comentó una de las venezolanas que utilizan la plataforma.|Lea más en El País.;18;18/03/2019;2019-03-77T09:40:00-0400;275128;http://en-cdnmed.agilecontent.com//resources/jpg/4/5/1548679333154.jpg;Política, Economía, Escasez, Inflación;EN;Economía;La startup mexicana permite que los ciudadanos depositen dinero en bolívares y lo cambien a la moneda extranjera ;Airtm: una alternativa que permite a los venezolanos ahorrar en dólares;http://www.el-nacional.com/noticias/economia/airtm-una-alternativa-que-permite-los-venezolanos-ahorrar-dolares_275128
2;EL NACIONAL;Marcos Gómez, director del movimiento Amnistía Internacional, denunció este lunes que los habitantes del sector Carpintero de Petare llevan 30 días sin recibir el servicio de agua potable.|Mediante Twitter, Gómez indicó que las personas de la comunidad hacen largas colas para buscar agua en sectores aledaños a la zona afectada para poder abastecerse del servicio.|'30 días sin agua potable el Barrio Carpintero de Petare. La comunidad vive largas jornadas de carga de agua hasta sus hogares, cuando llega a algunas tuberías ubicadas en sectores menos altos', escribió en la red social.;3.2;18/03/2019;2019-03-77T09:33:00-0400;275125;http://en-cdnmed.agilecontent.com//resources/jpg/7/9/1552912216997.jpg;Servicios, Sociedad;EN;Servicios;El director del movimiento Amnistía Internacional señaló que las personas deben buscar agua en sectores aledaños a la zona afectada;Habitantes de Petare tienen 30 días sin servicio de agua;http://www.el-nacional.com/noticias/servicios/habitantes-petare-tienen-dias-sin-servicio-agua_275125
3;El Nacional;Usuarios de las redes sociales reportaron este lunes que un nuevo pagón afectó a varias zonas del estado Miranda y de Caracas.|Entre las localidades afectadas están Guatire, El Rosal, El Cafetal, Chacao, La Urbina y Los Palos Grandes. De la misma forma, vecinos de Santa Mónica también han denunciado que no cuentan con el servicio eléctrico desde este domingo en la noche.|La periodista Lidk Rodelo informó que explotaron unos transformadores en una subestación eléctrica ubicada en a zona industrial Cloris, Miranda.|La locutora venezolana Verónica Gómez, mejor conocida como “La Vero Gómez”, también reportó que en San Luís hubo una falla eléctrica. “Se fue la luz en San Luis. ¿Ustedes tienen?”, preguntó vía Twitter.;2.10;18/03/2019;2019-03-77T09:23:00-0400;275129;http://en-cdnmed.agilecontent.com//resources/jpg/2/1/1552338611012.jpg;Miranda, Servicios, Luz, Caracas, Apagón, Sociedad;EN;Servicios;Entre las zonas que quedaron sin luz están Guatire, El Rosal, El Cafetal, Chacao y La Urbina;Nuevo apagón afecta a la Gran Caracas;http://www.el-nacional.com/noticias/servicios/nuevo-apagon-afecta-gran-caracas_275129
4;El Comercio | Perú | GDA;Si antes de cerrar los ojos para dormir lo último que se mira es un dispositivo electrónico como el celular o la tablet para revisar las redes sociales, se cuenta como un integrante del club del vamping, tendencia que está causando serios problemas a la salud, afectando principalmente la calidad del sueño a personas en todo el mundo.|Los neurólogos son claros al afirmar que la luz azul de onda corta emitida por las pantallas afecta la calidad del sueño y el rendimiento. Al usarlas mientras se está en la cama, el cerebro entiende que aún es de día y no segrega la melatonina, sustancia que regula el ciclo del sueño.|El retrasar el inicio del descanso y dormir menos horas es conocido como insomnio tecnológico o 'vamping', algo que afecta a adolescentes, adultos y hasta niños. Especialistas también detallan que esto afecta el apetito haciendo que se tenga más hambre, provoquen más dulces y, por tanto, se engorde. La reducción de horas de sueño también ocasiona más cansancio y estar menos activos.|La falta de horas de sueño, también podría tener efectos a largo plazo como un debilitamiento del sistema inmunológico e incluso algunas investigaciones lo relacionan con el aumento de la hipertensión, la obstrucción en las arterias y los problemas cardíacos.|La compañía farmacéutica Galenicum Health recomienda que el cuarto esté libre de luz antes de dormir (televisores, Tablet o celulares), pues esto pone en alerta al cerebro y hace creer al cuerpo que debe estar despierto.|A esto se suma un movimiento internacional llamado #JOMO o Joy of Missing Out (La alegría de perderse algo), que busca que más personas dejen de revisar su celular antes de dormir y se animen a descansar de la tecnología.;2.10;18/03/2019;2019-03-77T09:15:00-0400;275132;http://en-cdnmed.agilecontent.com//resources/jpg/1/8/1552914737581.jpg;NO_TIENE;EN;Bienestar;Cada vez, menos personas aprovechan las horas de la noche para descansar;Qué es el vamping y cómo afecta la salud de los que siempre usan tecnología;http://www.el-nacional.com/noticias/bienestar/que-vamping-como-afecta-salud-los-que-siempre-usan-tecnologia_275132
5;EFE;La policía holandesa busca a varios atacantes huidos tras abrir fuego este lunes y herir a varias personas que se encontraban en la plaza del 24 de Octubre de Utrecht, y ha abierto una investigación de lo ocurrido como un posible ataque terrorista.|Varias informaciones hacen referencia a un muerto y las fotografías de prensa difundidas muestran un cuerpo inerte cubierto con una manta, pero los funcionarios no han confirmado esa víctima mortal. Las autoridades han reforzado la seguridad en la zona del Parlamento en La Haya y han solicitado a las escuelas de Utrecht (centro de Holanda) que mantengan las puertas cerradas. Asimismo, la policía militar ha decidido aumentar la vigilancia en zonas como el aeropuerto Schiphol de Ámsterdam. Además, como medida de precaución, todas las mezquitas en la ciudad han sido evacuadas.|La policía ha confirmado que la investigación del tiroteo, que se registró a las 10:45 am, está en marcha y que tiene en cuenta 'un posible motivo terrorista'. Los agentes confirmaron rápidamente la existencia al menos de un atacante, un hombre que sacó un arma y comenzó a disparar de forma aleatoria y continuada contra la gente que posteriormente se dio a la fuga, aunque varios testigos hablaban desde el principio de que había más de una persona involucrada en el hecho.|Posteriormente, las autoridades aclararon que buscan a varios sospechosos que se encuentran en paradero desconocido. Bernhard Jens, portavoz de la policía de Utrecht, afirmó que de acuerdo con varios testigos 'el autor de los disparos huyó en un auto'. Según la información disponible, uno de los tiroteos fue contra viajeros de un tranvía, aunque aún no se ha aclarado si ese atacante estaba dentro o fuera del tranvía y desde dónde disparó.|Por el momento no hay cifras de cuántas víctimas hay ni la gravedad de su situación, pero hay varios heridos que han sido ya trasladados a los hospitales.|El primer ministro neerlandés, Mark Rutte, canceló una reunión que tenía con los partidos de la coalición por esta 'situación inquietante' y ha advertido de que el gobierno 'está muy preocupado'.;1.1;18/03/2019;2019-03-77T09:13:00-0400;275126;http://en-cdnmed.agilecontent.com//resources/jpg/8/2/1552914768228.jpg;Europa, Tiroteo;EN;Mundo;Las autoridades han reforzado la seguridad en la zona del Parlamento en La Haya y en otros lugares como el aeropuerto Schiphol de Ámsterdam;Policía de Holanda busca a varios atacantes por el tiroteo en Utrecht;http://www.el-nacional.com/noticias/mundo/policia-holanda-busca-varios-atacantes-por-tiroteo-utrecht_275126
6;Diario El Universal;Este lunes arrancó con manifestaciones.Vecinos de Palo Verde se apostaron en la avenida principal para protestar por la falta de luz y agua en varios inmuebles de este sector del municipio Sucre.|También en la urbanización Los Chorros los residentes salieron a la calle por la falta del servicio de agua desde hace más de una semana.|En Palo Verde alertan que tienen más de 12 días sin luz y no han recibido ninguna explicación por parte de Corpoelec.|Vecinos de palo verde trancan ya son 12 día sin luz en varios edificios y @CORPOELECinfo no resuelve. Ya son muchos los días sin el servicio @CaraotaDigital @luisgonzaloprz @LuisOlavarrieta @globovision pic.twitter.com/3qIzz1PZhh;2.1;18/03/2019;18/03/2019 09:47 am;35629;http://mmedia.eluniversal.com/17973/palo-verde-19730.jpg;NO_TIENE;EU;caracas;En la urbanización Los Chorros los residentes salieron a la calle por la falta del servicio de agua desde hace más de una semana.En Palo Verde denuncian más de 12 días sin luz;Vecinos de Palo Verde y Los Chorros protestaron por falta de luz y agua;http://www.eluniversal.com/caracas/35629/vecinos-de-palo-verde-y-los-chorros-en-caracas-protestaron-por-falta-de-luz-y-agua
7;AVN;Caracas.- El Instituto Nacional de Meteorología e Hidrología (Inameh) prevé este lunes cielos despejados sin lluvias en gran parte del país.|De acuerdo con sus proyecciones meteorológicas, se espera nubosidad y precipitaciones sobre los estados Apure, Lara, Barinas, Portuguesa, Táchira, Mérida, Trujillo, Amazonas, Bolívar, sur del Zulia y el Territorio Esequibo.|Asimismo, algunas lloviznas matutinas sobre zonas montañosas y costeras en el estado Miranda.|En la ciudad de Caracas la temperatura máxima en horas de la tarde sigue siendo estimada en 26 grados centígrados y la mínima en la madrugada fue de 15 grados centígrados.|Con respecto al oleaje en las costas del país, el Inameh prevé olas hasta 1,8 metros de altura en el litoral Occidental y Zona Insular y hasta 1, 5 metros de altura en los litorales Oriental y Central.;2.3;18/03/2019;18/03/2019 08:00 am;35621;http://mmedia.eluniversal.com/17896/cielo-14354.jpg;NO_TIENE;EU;venezuela;Día soleado para la capital de Venezuela con una temperatura máxima de 26 grados centígrados;Inameh prevé cielos poco nublados sin lluvias este lunes en gran parte del país;http://www.eluniversal.com/venezuela/35621/inameh-preve-cielos-poco-nublados-sin-lluvias-este-lunes-en-gran-parte-del-pais
8;BENJAMIN TRIPIER;Caracas.- Estamos de a poco entrando a una liberalización “de hecho” de nuestra economía. Está quedando cada vez más en manos de los privados. Lo cual no significa que el estado se haya retirado formalmente, sino que está a la expectativa, observando “desde afuera”, para atacar con todas las herramientas e instrumentos de los que se ha ido dotando en 20 años de revolución con un poder de intervención casi absoluto.|El fenómeno inusual de los “anaqueles llenos” que se fue presentando en los últimos tiempos, no es otra cosa que la demostración de esta “lectura” que hace que las empresas se muevan en un límite, mas dado por lo político que por lo normativo. La ley de precios justos es muy permisiva con un dólar Dicom superior al paralelo, y puede hasta ser un estímulo para reimpulsar la actividad productiva y comercial.|Si de la misma manera artificial que se adelanta su valor, volviera a retrasarse, entonces, los inventarios en tránsito, ya no permitirían completar el ciclo de reposición y se podría incurrir en pérdidas. Los encajes astringentes de la banca, impulsan los aportes de capital de trabajo, para aquellos productos de “ciclo corto” que puedan rotarse administrando el riesgo que quedar a mitad de camino.|Del otro lado, hacen falta una demanda, y un consumo que están deprimidos y que no hay camino a la vista que pudiera incentivarlo. El “síndrome del anaquel lleno” se explica no solo porque alguien produce el suministro, sino también, porque no rota y se queda en el anaquel. Existe la oportunidad de hacerlo rotar vía la fórmula heterodoxa de descuentos solidarios que comiencen a manejar un restablecimiento de las referencias, y los acerquen a las posibilidades reales del perfil de demanda con que contamos.|Noticias Destacadas|-Maduro: “Yo muy pronto voy a anunciar nuevos y poderosos cambios en los métodos del gobierno”|-Guaidó comienza a preparar movilización hacia palacio presidencial|-BID hizo efectivo el nombramiento de Ricardo Hausmann como representante de Venezuela|-Posible veto a visa y mastercard en Venezuela impulsaría uso de criptoactivos|-Estrés y traumas tras apagón en Venezuela: Las secuelas de vivir en pánico|-American Airlines suspende vuelos a Venezuela por seguridad|Lo que no es noticia (y debería serlo)|-Que las donaciones internas de ayuda humanitaria, son tan perseguidas como las que no dejan entrar del exterior|-Ni que así se reponga parcialmente la electricidad de los sistemas de bombeo de agua, aun quedan embalses vacíos, hasta el inicio de las lluvias|-O que cada vez le importa menos a la gente el problema político, entre chavistas y opositores, y quieren soluciones concretas a sus problemas diarios: cada día se vive peor que el anterior|-Tampoco que las empresas, vía cámaras empresariales, deben buscar e identificar sistemas de pago alternativos (pseudo monedas) que permitan complementar a la moneda oficial, y restablecer precios de referencia|@btripier btripier|@ntn-consultores.com|www.ntn-consultores.com;2.1;18/03/2019;18/03/2019 05:30 am;35584;http://mmedia.eluniversal.com/17972/sector-privado-19692.jpg;NO_TIENE;EU;economia;Liberalización de economía;VITRINA VENEZUELA;http://www.eluniversal.com/economia/35584/vitrina-venezuela
9;Diario El Universal;Caracas.- La Bolsa de Valores de Caracas (BVC) reportó entre los días 25 de febrero y 15 de marzo, con las pausas de carnaval y apagón, un monto negociado  por 6 mil 24 millones 619 mil 2012 bolívares, luego de sumar los diversos segmentos del mercado.|En su más reciente informe, la institución informó que “se efectuaron en el lapso,  transacciones  en las que se negociaron 16,16 millones de acciones de empresas privadas venezolanas en 2.200 operaciones”.|Especificó que “en el mercado a plazo se concretaron negocios por un monto de 3 mil 781 millones 577 mil 421 bolívares, como resultado de la transacción de 1,72 millones de acciones en 74 operaciones”.|Asimismo el corro capitalino indicó que “el índice principal de la Bolsa de Valores de Caracas, IBC, abrió el lapso reseñado en 7.839,10 puntos y la cerró en 8.582,13 puntos, con una variación de 743,03 puntos, lo se significó una subida de 9,48%”.|El documento destacó que el Top 12 de las acciones más negociadas en la semana fueron las de Mercantil Servicios Financieros A (Bs. 3.551.07 millones), Banco Nacional de Crédito (Bs. 551,08 millones), Fondo de Valores Inmobiliarios B (Bs. 264,99 millones), Cerámica Carabobo (Bs. 305,46 millones), Bolsa de Valores de Caracas (Bs. 242,12 millones), Banco Provincial (Bs. 184,08 millones).|Seguida también por Protinal (Bs. 86,45 millones), Mercantil Servicios Financieros B (Bs. 61,36 millones), Ron Santa Teresa  (Bs. 47,21 millones), Banco Occidental de Descuento (Bs. 47,89 millones), Cantv (Bs. 42,03 millones) y Domínguez & Cia. (Bs. 31,59 millones).|Mientras tanto, los títulos con mayor subida en sus precios en el mercado de renta variable fueron los de Corporación Grupo Químico (+183,33%), Banco del Caribe A (+150,00%), Fábrica Nacional de Cementos (+106,90%), Siderúrgica Manpa (+65,98%) Siderúrgica Venezolana Sivensa (+71,82%), Protinal (+67,78%), Invaca (+66,67%), Proagro (+66,22%), Manpa (+65,98%) y Cerámica Carabobo (+65,63%).|Destacó el texto que otros títulos de renta variable con incrementos destacados fueron Fondo de Valores Inmobiliarios A (+61,8%), Banco Occidental de Descuento (+56,25%), Envases Venezolanos (+50,00%), Corporación Industrial de Energía (+44,68%), Telares Palo Grande (+42,86%), Fondo de Valores Inmobiliarios B (+36,36%), Fondo de Valores Inmobiliarios B (+36,36%), Grupo Zuliano (+31,58%), Domínguez y Cía. (+31,17%) y Cantv (+30,44%).|En renta fija se negociaron Obligaciones Quirografarias y papeles comerciales por 479 millones 365 mil 910 bolívares en 10 operaciones.|En expansión|El índice principal de la Bolsa de Valores de Caracas, IBC, culminó este viernes en 8.582,13 puntos, con una variación de 387,54 puntos (+4,73%), respecto a la sesión anterior, indicó el registro de ese mercado.|Por otra parte, el Índice Financiero cerró en 14.324,67 puntos (+5,72%) y el Índice Industrial en 4.782,08 puntos (-1,06%).|Además, apuntó el reporte bursátil, se efectuaron el 15 de marzo en la Bolsa 232 operaciones  de compra venta en el mercado de renta variable, en las cuales  se transaron 470 mil acciones  por  126  millones  644 mil 506 bolívares.|En otro renglón, precisó la BVC, durante la última jornada en el mercado a plazo, cambiaron de mano 121.200 acciones por un monto de 7.422.232,85 bolívares en 7 operaciones y en renta fija, se negociaron papeles de Tivalca por 420 millones de bolívares;CONTEXTO;18/03/2019;18/03/2019 05:30 am;35595;http://mmedia.eluniversal.com/17972/bvc-19699.jpg;NO_TIENE;EU;economia;El IBC reportó una variación de 743,03 puntos, es decir, un alza de 9,48%;Bolsa de Valores negoció más de Bs 6 mil millones;http://www.eluniversal.com/economia/35595/bolsa-de-valores-negocio-mas-de-bs-6-mil-millones
