;autor;contenido;derecho;fecha;fechaPublicacion;idPeriodico;imagen;palabrasClaves;periodico;seccion;subtitular;titular;url
0;El Nacional;['El movimiento estudiantil del área de la salud de la Universidad Central de Venezuela (UCV) le exigió a Michelle Bachelet, alta comisionada de la Organización de las Naciones Unidas (ONU), que visite Venezuela de forma personal en lugar de enviar comisiones.', 'Jesús Mendoza, secretario general de la Escuela de Odontología de la UCV, aseguró que en los centros de salud el país no hay los recursos necesarios para atender a los pacientes.', '“Le solicitamos a la doctora Michelle Bachelet a que venga a Venezuela ella misma, no que mande una comisión. ¿Para qué una comisión?, ¿No le bastan los videos y todas las fotos en las que se vio como la policía política del usurpador quemó dos gandolas llenas de insumos llenos de alimentos para los pacientes?”, preguntó.', '“La invito a que vaya y visite todos los centros de salud y que tenga un acompañamiento del presidente Juan Guaidó y de la comisión de el Asamblea Nacional para que sea una visita no parcializada”, sugirió.'];1.2;07/03/2019;2019-03-66T11:26:00-0400;273728;http://en-cdnmed.agilecontent.com//resources/jpg/4/7/1551971966674.jpg;Mundo, UCV, ONU, Sociedad;EN;Sociedad;Jesús Mendoza, secretario general de la Escuela de Odontología de la UCV, sugirió que el presidente interino de Venezuela, Juan Guaidó, acompañe a la alta comisionada de la ONU;Movimiento estudiantil de la UCV exigió visita personal de Bachelet al país;http://www.el-nacional.com/noticias/sociedad/movimiento-estudiantil-ucv-exigio-visita-personal-bachelet-pais_273728
1;EL NACIONAL;['Roberto Messuti, actor venezolano y seguidor del oficialismo, amenazó a sus vecinos luego de que lo denunciaran por robar, por medio de un cable, su señal satelital, reseñóxa0Caraota Digital.', '“Este tipo acaba de amenazarme en mi apartamento por despegar su cable (conectado sin permiso) de mi antena de Directv. Luego ofendió a mi esposa delante de un niño y volvió a amenazar”, relató Carlos Rodríguez.', 'Rodríguez y su esposa Loira Zambrano expresaron, en una entrevista paraxa0Caraota Digital,xa0temor por su integridad física luego de la amenaza recibida por Messuti, presidente de la Casa del Artista.', 'La pareja de casados relató que entre la advertencia que recibieron por parte del actor, que se calificó como un enemigo de los vecinos, estaba golpearlos y 'destruirles la vida'.', 'Escuche la entrevista completa en Caraota Digital.'];1.1;07/03/2019;2019-03-66T11:09:00-0400;273723;http://en-cdnmed.agilecontent.com//resources/jpg/9/6/1551970212869.jpg;NO_TIENE;EN;Entretenimiento;Los residentes expresaron temor por su integridad física luego de que el actor venezolano advirtiera que les 'destruiría la vida';Roberto Messuti amenazó a sus vecinos por acusarlo de robar señal satelital;http://www.el-nacional.com/noticias/entretenimiento/roberto-messuti-amenazo-sus-vecinos-por-acusarlo-robar-senal-satelital_273723
2;El Nacional;"['La sede del Banco Interamericano de Desarrollo recibió la obra del venezolano Juan Luis Landaeta. El artista, que también es escritor, llegó a Washington DC (Estados Unidos) para presentar su propuesta:xa0La identidad de la línea.', 'Desde el 5 de marzo hasta el 29 del mismo mes, Juan Luis realiza una exposición de 10 piezas enmarcadas dentro del género del expresionismo abstracto, que provienen del desarrollo plástico de su anterior propuestaxa0Jardín Desierto.', 'La identidad de la líneaxa0muestra algunos cambios sustanciales de forma y fondo. El formato de las piezas es mucho más grande, de un metro por un metro, así como la sustitución del papel por el lienzo.', 'La técnica y el proceso para culminar cada obra está compuesto de manera inicial por el trabajo sobre figuras o fondos negros, sobre los que se erige cada propuesta. Luego están los golpes y brochazos en blanco; nuevamente aparece el negro y las hebras que dan textura al conjunto y que no son más que líneas paralelas, rectas o distorsionadas.', 'Landaeta describe esta exposición como una síntesis de sus trabajos anteriores. Enxa0La identidad de la línea, están plasmadas todas las series anteriores en las que ha trabajado.', 'La identidad de la línea,xa0abre la temporada de primavera, en galería de la institución multilateral, que acogerá a lo largo del año las obras de otros siete artistas', 'Los pormenores sobre la presentación en la Galería del Banco Interamericano de Desarrollo y otras expresiones artísticas realizadas por Juan Luis Landaeta a lo largo de su carrera pueden apreciarse en sus redes sociales, a través del Instagram @juanluislandaeta y del Twitter @Landaeta pueden conseguirse estos contenidos.', 'Con información de nota de prensa.']";1.1;07/03/2019;2019-03-66T11:06:00-0400;273725;http://en-cdnmed.agilecontent.com//resources/jpg/4/5/1551970302654.jpg;Entretenimiento, Estados Unidos, Arte, Mundo;EN;Arte;Juan Luis Landaeta presentará su propuesta La identidad de la línea desde el 5 hasta el 29 de marzo;Venezolano exhibirá obras en galería del Banco Interamericano de Desarrollo;http://www.el-nacional.com/noticias/arte/venezolano-exhibira-obras-galeria-del-banco-interamericano-desarrollo_273725
3;El Nacional;['La unidad marítima de Petróleos de Venezuela (Pdvsa), PDV Marina, se declaró en estado de emergencia. La situación los llevó a entregar la flota que era operada por la compañía por falta de pago y el flujo de caja para pagar los salarios de los trabajadores.', 'La información fue dada a conocer porxa0Reuters, que agrega que el estado de PDV Marina coloca a la estatal petrolera en una situación crítica para recibir la flota de tanqueros.', 'Una notificación del departamento de seguridad de PDV Marina que fue vista por el portal informativo señala que el componente de Pdvsa carece de personal para recuperar de forma inmediata los 10 buques de Bernhard Schulte Shipmanagement (BSM).', 'BSM informó que sus tripulaciones abandonarían las embarcaciones retenidas en Portugal por la falta de pago a varias compañías.', 'Lea más enxa0Reuters.'];2.3;07/03/2019;2019-03-66T10:56:00-0400;273720;http://en-cdnmed.agilecontent.com//resources/jpg/6/8/1549047016986.jpg;Petróleo, Economía, Pdvsa;EN;Petróleo;El componente de Petróleos de Venezuela devolverá la flota de tanqueros debido a la falta de pagos ;Reuters: PDV Marina se declaró en estado emergencia;http://www.el-nacional.com/noticias/petroleo/reuters-pdv-marina-declaro-estado-emergencia_273720
4;El Nacional;['Juan Guaidó, presidente interino de Venezuela, convocó a una movilización este sábado en todos los estados del país.', ''Venezuela, a la calle este sábado! El sábado nos toca seguir movilizados porque el proceso que iniciamos es irreversible. Todas las capacidades que estamos construyendo parten de que continuemos expresándonos masivamente en las calles. ¡La esperanza nació para no morir!', escribió Guaidó vía Twitter.', 'El presidente interino llegó a Venezuela el lunes luego de su gira por varios países del continente para sumar apoyos. Además, indicó que evalúa hacer un viaje por Europa para discutir los temas de la ayuda humanitaria.'];2.1;07/03/2019;2019-03-66T10:44:00-0400;273721;http://en-cdnmed.agilecontent.com//resources/jpg/2/8/1551727815182.jpg;Política, Juan Guaidó;EN;Política;El presidente interino llegó a Venezuela este lunes después de su gira por varios países del continente;Guaidó convocó a los venezolanos a marchar este sábado;http://www.el-nacional.com/noticias/politica/guaido-convoco-los-venezolanos-marchar-este-sabado_273721
5;EL NACIONAL;['La Cancillería de Argentina informó que el Gurpo de Lima rechaza la decisión de Nicolás Maduro en relación con Daniel Kriener, embajador de Alemania en Venezuela,xa0quien fue declarado personaxa0non grataxa0luego de que recibió a Juan Guaidó en el Aeropuerto Internacional Simón Bolívar el lunes.', '“El Grupo de Lima rechaza la decisión del régimen ilegítimo de Nicolás Maduro de expulsar al embajador de Alemania acreditado en Venezuela”, dijo la Cancillería mediante Twitter.', 'Asimismo, reiteraron su apoyo a Juan Guaidó “y a los ciudadanos en su demanda por el restablecimiento de la democracia”.'];1.2;07/03/2019;2019-03-66T10:31:00-0400;273722;http://en-cdnmed.agilecontent.com//resources/jpg/8/1/1551968382318.jpg;NO_TIENE;EN;Política;La información fue compartida por la Cancillería de Argentina en Twitter ;Grupo de Lima rechazó medida contra embajador de Alemania;http://www.el-nacional.com/noticias/politica/grupo-lima-rechazo-medida-contra-embajador-alemania_273722
6;El Nacional;['Mike Pence, vicepresidente de Estados Unidos, indicó el miércoles que Nicolás Maduro es un 'dictador y no tiene ningún derecho de reclamar el poder'.', ''Fue inescrupuloso que el dictador Maduro bailara en las calles de Caracasxa0mientras que sus secuaces quemaban camiones repletos de alimentos y medicinas”, lamentó Pence respecto a los hechos que se registraron el 23 de febrero.', 'Añadió que Estados Unidos apoya en su totalidad a Juan Guaidó, presidente interino de Venezuela, y que si la situación en el país no cambia huirán 2 millones más de venezolanos.', '“Es tiempo de que Maduro se vaya, es tiempo de que el mundo apoye al presidente Juan Guaidó”, insistió.'];2.1;07/03/2019;2019-03-66T10:27:00-0400;273717;http://en-cdnmed.agilecontent.com//resources/jpg/8/1/1551897268718.jpg;Nicolás Maduro, Estados Unidos, Mike Pence;EN;EE UU;El vicepresidente de Estados Unidos señaló que si la situación del país no cambia, millones de venezolanos seguirán abandonando el país;Pence: Maduro es un dictador que no tiene derecho de reclamar el poder;http://www.el-nacional.com/noticias/pence-maduro-dictador-que-tiene-derecho-reclamar-poder_273717
7;JORDAN FLORES;['Un tribunal de Miami, Florida, dictó una orden de aprehensión contra el actor, modelo y cantante Fernando Carrillo, por el incumplimiento del pago de la pensión alimentaria de su hijo Ángel Gabriel.', 'Según reseñó el portal de noticiasxa0Infobae, la madre del menor, Margiolis Ramos, aseguró que la estrella de televisión debe 15.000 dólares de manutención, y que no ha querido hacerse responsable de los gastos de su hijo desde iniciaran una querella legal hace cuatro años.', ''En principio él me daba USD 1.200, cuando pusimos la cuestión en la corte, él lo había bajado a USD 600 mientras estaba la decisión de la juez, y él se fue del país y dejó de pagar desde mayo del año pasado', indicó la mujer en el programa de TV Azteca Ventaneando, donde además de no responder a la orden judicial, Carrillo se desentendió por completo del niño, a quien no ve desde hace año y medio.', 'Ramos, quien trabaja como vendedora a través del servicio Uber Eats, señaló que el protagonista de Abigaíl recientemente la invitó a venir a México para llegar a un acuerdo extrajudicial, pero reiteró que no retirará su demanda hasta que se arregle en una corte de Estados Unidos.', 'Por su parte Carrillo, que actualmente vive en México, respondió en el programa Primer Impacto de la cadena Univisión que las acusaciones son totalmente falsas y se ha intentado mediatizar la situación en lo que catalogó como 'parte de show, del rock and roll'.', ''Lamentablemente se ha vuelto mediático no porque lo he querido, y es algo que afecta al niño, por eso me mantengo al margen, siempre estoy para él, pero los tiempos de Dios son perfectos, creo que está creciendo con amor y eso me mantiene tranquilo', dijo el actor, quien además sostuvo que sí mantiene contacto telefónico con su hijo.', 'De momento, Carrillo no podrá pisar territorio estadounidense, pues sería inmediatamente detenido por las autoridades.'];2.1;07/03/2019;07/03/2019 10:21 am;34987;http://mmedia.eluniversal.com/17962/fernando-carrillo-19240.jpg;NO_TIENE;EU;entretenimiento;El protagonista de 'Abigaíl' fue demandado por deber 15.000 dólares de manutención a su hijo;Emiten orden de arresto en EE.UU contra el actor Fernando Carrillo;http://www.eluniversal.com/entretenimiento/34987/emiten-orden-de-arresto-en-eeuu-contra-el-actor-fernando-carrillo
8;AP;['Berlín.- La presencia de diplomáticos extranjeros en el aeropuerto de Caracas a principios de esta semana ayudó a impedir el arresto del jefe legislativo, Juan Guaidó, dijo el ministro del Exterior alemán, Heiko Maas, este jueves.', 'Señaló que pidió al embajador alemán Daniel Kriener que se sumara a otros enviados en el aeropuerto el lunes. 'Había información de que existían intenciones de arrestar (a Guaidó) allí, y creo que la presencia de varios embajadores ayudó a impedir este arresto'.', 'El miércoles, el Gobierno de Nicolás Maduro anunció que le daba a Kriener 48 para abandonar el país, medida considerada una represalia por el apoyo de Alemania a Guaidó.', 'Maas dijo que 'la decisión del gobierno venezolano, mejor dicho, el régimen de Maduro en Caracas, de expulsar al embajador Kriener como 'persona non grata' no es en absoluto algo comprensible o aceptable para nosotros'.', 'Añadió que Alemania seguirá reconociendo a Guaidó como presidente interino legítimo de Venezuela y lo apoyará en la realización de elecciones.'];1.2;07/03/2019;07/03/2019 09:25 am;34979;http://mmedia.eluniversal.com/17962/ap-19236.jpg;NO_TIENE;EU;politica;El ministro Heiko Maas indicó que le pidió al embajador alémán, Daniel Kriener, que se sumara a otros enviados al aeropuerto porque existía información sobre intenciones de arrestar a Guaidó;Ministro alemán: Presencia de diplomáticos extranjeros impidió el arresto de Guaidó en el aeropuerto;http://www.eluniversal.com/politica/34979/ministro-aleman-presencia-de-embajadores-impidio-el-arresto-de-guaido-en-el-aeropuerto
9;AFP;['Berlín.-El jefe legislativo, Juan Guaidó, reconocido como presidente encargado por más de 50 países, exhortó este jueves a Europa a intensificar las sanciones financieras contra el Gobierno de Nicolás Maduro, al cual desconoce.', 'En declaraciones al diario alemán Spiegel, el parlamentario condenó enérgicamente la decisión del Gobierno de expulsar al embajador alemán en Venezuela, Daniel Kreiner, a quien le pidió que permanezca en el país.', 'Los países europeos 'deben reforzar las sanciones financieras contra el régimen. La comunidad internacional debe impedir que el dinero de los venezolanos sea mal utilizado para asesinar a los opositores y los pueblos autóctonos', declaró Guaidó al diario Spiegel.', ''Venezuela vive bajo una dictadura y esa manera de proceder constituye una amenaza para Alemania. Maduro ocupa ilegalmente la presidencia', acotó.', 'Maduro 'no tiene legitimidad para declarar indeseable a un embajador', dijo Guaidó, que agradeció a Alemania por la ayuda humanitaria. nn'El régimen no solo amenaza verbalmente al embajador, sino también a su integridad física', agregó el presidente del Parlamento.', 'El embajador alemán Daniel Kriener fue declarado persona non grata por el Gobierno de Maduro que lo acusa de 'injerencia en los asuntos internos' de Venezuela.', 'Alemania condenó la expulsión que considera 'incomprensible' y 'agrava la situación y no contribuye a la distensión'.'];1.2;07/03/2019;07/03/2019 09:10 am;34978;http://mmedia.eluniversal.com/17949/bjj-18356.jpg;NO_TIENE;EU;politica;El presidente del Parlamento dijo que la comunidad internacional debe impedir que el dinero de los venezolanos sea 'mal utilizado para asesinar a los opositores y los pueblos autóctonos';Guaidó exhorta a Europa a intensificar las sanciones contra Maduro;http://www.eluniversal.com/politica/34978/guaido-exhorta-a-europa-a-intensificar-las-sanciones-contra-maduro
