;autor;contenido;derecho;fecha;fechaPublicacion;idPeriodico;imagen;palabrasClaves;periodico;seccion;subtitular;titular;url
0;El Nacional;La aerolínea estadounidense American Airlines suspendió sus vuelos a y desde  Venezuela este viernes.|Una fuente confirmó a El Nacional que a partir de este sábado realizarán un vuelo diario hasta el próximo viernes, cuando se prevé que restablezcan el tráfico aéreo habitual hacia el país.|Reuters aserguró que el sindicato de la aerolínea, American Airlines Group Inc, emitió un comunicado en el que aseguran que los pilotos de dicha empresa no deben volar a Venezuela.|Explicaron que el sindicato señaló que las protestas que se desarrollan en el país, las detenciones de estadounidenses y las condiciones de salud en Venezuela son parte de las razones que habrían llevado a la aerolínea a suspender sus vuelos.|Correo recibido por la fuente de El Nacional sobre la cancelación del vuelo de American Airlines;1.2;15/03/2019;2019-03-74T10:22:00-0400;274793;http://en-cdnmed.agilecontent.com//resources/jpg/5/1/1552659385815.jpg;Crisis política, Nicolás Maduro, Estados Unidos, Mundo, Crisis económica, Crisis humanitaria;EN;Mundo;Una fuente confirmó a El Nacional que a partir de este sábado la aerolínea realizará un vuelo diario ;American Airlines suspendió sus vuelos en Venezuela este viernes;http://www.el-nacional.com/noticias/mundo/american-airlines-suspendio-sus-vuelos-venezuela-este-viernes_274793
1;El Nacional;Vecinos del sector de El Cementerio, en Caracas, denunciaron vía Twitter que no han recibido desde hace más de 10 días el servicio de agua potable en sus hogares.|'Todavía sin agua en el Cementerio , Cota 905, El Paraíso. ¿Hasta Cuando? Ya mas de dos Semanas sin agua.', indicó una vecina del sector vía Twitter.|En numerosas zonas de la Gran Caracas y el país, con pocas excepciones, el servicio de agua potable no se ha restablecido correctamente luego del apagón masivo que ocurrió el pasado 7 de marzo.;2.10;15/03/2019;2019-03-74T10:12:00-0400;274790;http://en-cdnmed.agilecontent.com//resources/jpg/0/3/1549025234730.jpg;Agua, Caracas, Sociedad;EN;Sociedad;En diversas zonas de la Gran Caracas se ha registrado la falta del servicio ;Vecinos de El Cementerio denuncian no tener agua desde hace 10 días;http://www.el-nacional.com/noticias/sociedad/vecinos-cementerio-denuncian-tener-agua-desde-hace-dias_274790
2;EL NACIONAL;Juan Guaidó, presidente interino de Venezuela, publicó un mensaje vía Twitter en el que destacó las recientes donaciones entregadas al Hospital Ortopédico Infantil de Caracas por parte de su esposa, Fabiana Rosales.|“Insistimos en ayudar a los más vulnerables. Ayer logramos entregar donaciones en hospitales, mientras el régimen bloquea y quema comida y medicina”, expresó el mandatario encargado en la red social.|Asimismo, reiteró que con el “cese de la usurpación” se podrá ingresar la ayuda humanitaria y la “derrota de la pobreza”.|Rosales realizó un recorrido por varios hospitales de Caracas y, a pesar de que varios de ellos están fuertemente custodiados, logró ingresar alimentos y medicinas al Hospital Ortopédico.;2.3;15/03/2019;2019-03-74T10:11:00-0400;274792;http://en-cdnmed.agilecontent.com//resources/jpg/0/5/1552659175350.jpg;Política, Juan Guaidó;EN;Política;El presidente interino aseguró que con el 'cese de la usurpación' se podrá 'derrotar la pobreza';Guaidó: Logramos entregar donaciones mientras el régimen quema medicinas;http://www.el-nacional.com/noticias/politica/guaido-logramos-entregar-donaciones-mientras-regimen-quema-medicinas_274792
3;EL NACIONAL;Un grupo de escritores, músicos, periodistas y artistas plásticos cubanos, residentes dentro y fuera de la isla firmaron una carta en la que exigen al gobierno de Cuba que se abstenga de intervenir en el conflicto político de Venezuela y saque de allí a sus numerosos “cooperantes”, tanto civiles como militares.|La carta fue enviada por la cuenta de Facebook Penúltimos Días y le pedía a los intelectuales que sumaran su apoyo. Como resultado, muchos la firmaron, entre ellos el periodista Carlos Alberto Montaner, que además la puso en su cuenta de Twitter.|“Ya es hora de que Cuba deje de exportar o azuzar conflictos en otros países, bajo los pretextos de la solidaridad ideológica, y de que asegure su subsistencia con recursos propios, sin expolio ni injerencia de ningún tipo”, dice la misiva, que publicó además el site Cibercuba.|Aparecen las rúbricas de figuras tan reconocidas como el músico y compositor Paquito D'Rivera, el politólogo Armando Chaguaceda, el escritor Abilio Estévez, y el artista plástico y activista opositor Luis Manuel Otero Alcántara. A continuación, el texto completo:|Carta abierta sobre la situación de Venezuela|¡Pobre Venezuela! Después de haber emprendido lo que anunció como un proceso radical de transformación social, que debía marcar un punto de inflexión en la ideología latinoamericana y garantizar un proyecto de igualdad social bautizado como “el socialismo del siglo XXI', hoy ese país ha terminado convertido en un recinto despótico, donde no sólo se violan los derechos políticos más elementales, sino en el que ya apenas se puede sobrevivir con un mínimo de dignidad. De la emancipación prometida a la mendicidad obligatoria, de ilusión de la izquierda continental a prototipo del fracaso, la desesperación y el éxodo: tal es el triste trayecto de la llamada 'revolución bolivariana'.|Ante la grave situación política y humanitaria que hoy atraviesa Venezuela, los abajo firmantes, intelectuales cubanos que residimos dentro y fuera de la isla, exigimos al gobierno cubano que atienda a las evidencias del desastre social y humanitario, se abstenga de intervenir por cualquier medio en el conflicto político de esa nación y retire a los numerosos 'cooperantes', tanto civiles como militares, que cumplen servicio en ese país. Tras seis décadas de una revolución fracasada, y el hundimiento de esa “Cubazuela” celebrada durante años por el castrochavismo, ya es hora de que Cuba deje de exportar o azuzar conflictos en otros países bajo los pretextos de la solidaridad ideológica, y de que asegure su subsistencia con recursos propios, sin expolio ni injerencia de ningún tipo.|Firman:|- Ladislao Aguado, escritor y editor.|-Carlos A. Aguilera, escritor.|-Janet Batet, curadora y crítico de arte.|-Yoandy Cabrera, académico.|-María A. Cabrera Arús, académica.|-Pablo de Cuba Soria, escritor y editor.|-Enrique del Risco, escritor y académico.|-Armando Chaguaceda, politólogo.|-Paquito D'Rivera, músico, compositor y escritor.|-Néstor Díaz de Villegas, escritor.|-Manuel Díaz Martínez, escritor.|-Jorge I. Domínguez-López, escritor y periodista.|-Vicente Echerri, escritor.|-Abilio Estévez, escritor.|-Gerardo Fernández Fe, escritor.|-Alejandro González Acosta, escritor y académico.|-Ginés Górriz, productor.|-Kelly M. Grandal, escritora.|-Ernesto Hernández Busto, escritor.|-Natacha Herrera, periodista.|-José Kozer, poeta.|-Boris Larramendi, músico.|-Felipe Lázaro, escritor y editor.|-Rafael López-Ramos, artista visual.|-Félix Luis Viera, escritor.|-Jacobo Machover, escritor y académico.|-Roberto Madrigal, escritor.|-María Matienzo Puerto, escritora y periodista.|-L. Santiago Méndez Alpízar, escritor.|-Michael H. Miranda, escritor y académico.|-Carlos Alberto Montaner, escritor y periodista.|-Adrián Monzón, artista y productor.|-Lilliam Moro, escritora.|-Luis Manuel Otero, artista y activista.|-Amaury Pacheco del Monte, escritor y artivista.|-Geandy Pavón, fotógrafo y artista visual.|-Gustavo Pérez-Firmat, escritor y académico.|-José Prats Sariol, escritor.|-Legna Rodríguez Iglesias, escritora.|-Alexis Romay, escritor.|-Rolando Sánchez Mejías, escritor.|-Manuel Sosa, escritor.|-Armando Valdés-Zamora, escritor y académico.|-Amir Valle, escritor.|-Camilo Venegas Yero, escritor y periodista.;CONTEXTO;15/03/2019;2019-03-74T10:03:00-0400;274789;http://en-cdnmed.agilecontent.com//resources/jpg/2/1/1552658695012.jpg;NO_TIENE;EN;Latinoamérica;Paquito D’Rivera y Carlos Alberto Montaner figuran entre los firmantes de una carta en la que se le exige al gobierno de Cuba que deje de intervenir en los asuntos venezolanos;Intelectuales y artistas cubanos exigen salida de los cubanos de Venezuela;http://www.el-nacional.com/noticias/latinoamerica/intelectuales-artistas-cubanos-exigen-salida-los-cubanos-venezuela_274789
4;Reinaldo Oliveros | @_reioliveros;Más de tres millones de venezolanos, de acuerdo con cifras oficiales de la Organización de las Naciones Unidas (ONU) han emigrado del país debido a la crisis social y política, lo que generó que España, país en el que viven más de 500.000 de estos migrantes, se convirtiera en uno de los destinos que ha acogido mayor cantidad de ciudadanos provenientes de Venezuela.|La situación social en Venezuela se convirtió en un importante tema de discusión dentro de la política española. Dirigentes y expertos venezolanos exiliados han tenido la oportunidad de exponer y marcar una posición clara en espacios como la Cumbre Mundial de la Comunicación Política en el país europeo.|“El tema de Venezuela se ha convertido muy importante aquí en España, porque cada uno de los venezolanos lamentablemente tuvimos que huir de nuestro país por la situación. Nos hemos convertido en voceros de todo lo que está ocurriendo en nuestro país”, dijo Joseph Hamilton, presidente de la Fundación Comunidad Iberoamericana, en exclusiva a El Nacional.|Hamilton explicó que expertos políticos venezolanos han expuesto ante dirigentes españoles la situación que vive Venezuela en los organismos pertinentes de la nación europea, para así promover políticas necesarias “para reconstruir la democracia” en el país.|“En España marcamos mucha posición ante dirigentes políticos de que tienen que seguir asumiendo la temática de Venezuela y promover las políticas necesarias para que haya un cambio de poder y que los venezolanos que estamos en el exilio tengamos la oportunidad de volver a nuestro país y reconstruir la verdadera democracia”, acotó.|Además, resaltó la relevancia e importancia que la comunidad venezolana y latina ha tomado en España.  “En la nación española hoy en día ante una población de casi 40 millones de habitantes y en la que tres millones son latinoamericanos, y casi 500.000 venezolanos, representa un factor muy importante a la hora de cualquier candidato participar en elecciones”, agregó.|La diáspora ha sensibilizado a los españoles|El presidente de la Fundación Comunidad Iberoamericana agregó que los ciudadanos españoles se han sensibilizado con la crisis venezolana y alegó que la migración ha sido un punto importante para comprender lo que se vive actualmente en el país.|“Todos los venezolanos que han sido voceros, desde su propia historia y vida, han sensibilizado a los españoles sin importar su ideología política”, aseguró.|Hamilton destacó que hay ciudadanos en España que tienen familiares y amigos en Venezuela que viven en las mismas condiciones que los demás venezolanos.|“Hay españoles o familiares que están sufriendo las mismas consecuencias de este régimen,  que no quiere salir del poder. Hoy en Venezuela hay alrededor de 300.000 españoles que conocen la crisis y que representa un colectivo sumamente importante”.|Los medios de comunicación españoles también se han convertido en una ventana para que los ciudadanos que habitan en ese país tengan información de la situación en Venezuela. “Los medios  y los diarios todos los días sacan un artículo sobre la situación de Venezuela, si no es en la portada, es en la primera página”.|La diáspora venezolana se ha convertido en una manera para que los ciudadanos de diversos países del mundo puedan comprender la situación que vivieron y que sufren muchos de sus familiares, y tener las oportunidades desde el exterior de contribuir y ayudar ante la crisis del país.;18;15/03/2019;2019-03-74T09:45:00-0400;274724;http://en-cdnmed.agilecontent.com//resources/jpg/7/1/1552658785017.jpg;España, Mundo, Diáspora;EN;Europa;Dirigentes políticos venezolanos en el exilio y ciudadanos del país han aprovechado los espacios que brinda la nación europea para poner en contexto la crisis que hay en Venezuela;Diáspora venezolana: un factor que marca la política en España;http://www.el-nacional.com/noticias/europa/diaspora-venezolana-factor-que-marca-politica-espana_274724
5;El Nacional;Alejandro Velasco, profesor de historia en la Universidad de Nueva York, aseguró que los grupos motorizados o colectivos tienen entre 5.000 a 7.000 miembros en el Venezuela, y que explican cómo Nicolás Maduro se mantiene a pesar de la crisis económica y eléctrica en el país, reseñó el diario The Washington Post.|Maduro instó esta semana mediante una cadena nacional a los “colectivos” que viajaban en motocicleta a intensificar sus esfuerzos, mientras el país se encontraba al borde del colapso eléctrico.  'Llamo a los colectivos. Ha llegado la hora de la resistencia, la resistencia activa en la comunidad', declaró Maduro en el discurso de este lunes.|El pasado domingo diversas personas protestaron debido a las fallas eléctricas en el que acudieron un grupo de 20 motos que dispararon con pistolas y rifles, para reprimir la manifestación. 'Ahora ni siquiera podemos protestar, porque nos dispararán', dijo Delia Arellano, de 72 años, una de las manifestantes'.|El Washington Post señala que los colectivos se han vuelto particularmente importantes puesto que Maduro no usa las Fuerzas Armadaspara reprimir las manifestaciones.|Con información de The Washington Post;CONTEXTO;15/03/2019;2019-03-74T09:29:00-0400;274787;http://en-cdnmed.agilecontent.com//resources/jpg/7/8/1552658215087.jpg;Política, Nicolás Maduro, Sucesos;EN;Política;El diario The Washington Post reseñó que los grupos motorizados son utilizados para reprimir las manifestaciones;Colectivos, los ejecutores de Nicolás Maduro en Venezuela;http://www.el-nacional.com/noticias/politica/colectivos-los-ejecutores-nicolas-maduro-venezuela_274787
6;EL NACIONAL;Las plantas eléctricas de Ejido, en el municipio Campo Elías de Mérida, quedaron destruidas tras el apagón nacional registrado el 7 de marzo.|La información fue compartida vía Twitter por el periodista Jesús Quintero Quiróz, quien calificó el estado de estos equipos como “chatarra y ruinas”.|De acuerdo con Quiróz, estas plantas fueron vendidas como unas de las “grandes” respuestas a los problemas eléctricos en Mérida.|Hospitales y demás servicios de Mérida colapsaron tras la falla eléctrica registrada a nivel nacional, que en dicha entidad superó las 100 horas.;2.3;15/03/2019;2019-03-74T09:24:00-0400;274786;http://en-cdnmed.agilecontent.com//resources/jpg/1/4/1552656234541.jpg;Servicios, Mérida;EN;Servicios;El equipo de plantas de Ejido quedó convertido en chatarra luego de las diversas fallas eléctricas en el país;Plantas eléctricas de Mérida quedaron destruidas tras apagón;http://www.el-nacional.com/noticias/servicios/plantas-electricas-merida-quedaron-destruidas-tras-apagon_274786
7;AFP;París.- La caída de la producción petrolera en Venezuela, causada por una gigantesco apagón eléctrico, podría plantear un problema para el suministro del mercado por lo que sería necesario acudir a las capacidades suplementarias de Arabia Saudita, indicó el viernes la Agencia Internacional de Energía (AIE).|'La semana pasada, las operaciones del sector (petrolero venezolano) quedaron seriamente perturbadas y las pérdidas actuales a gran escala podrían plantear una dificultad para el mercado' dice la AIE en su informe mensual sobre el petróleo.|Venezuela sufrió un gigantesco fallo eléctrico que afectó en especial a la actividad de la compañía petrolera pública Pdvsa, crucial para la economía local.|'Aunque hay señales de que la situación mejora, la degradación del sistema eléctrico es tal que no podemos estar seguros de que las reparaciones sean duraderas' dijo la agencia con sede en París.|La producción de Venezuela se había estabilizado en torno a 1,2 millones de barriles diarios (mbd). La cifra corresponde también al volumen de reducción voluntaria de la producción decidida por la Organización de Países Exportadores de Petróleo (OPEP) y Rusia para sostener las cotizaciones del crudo, destaca la AIE.|En total, los miembros del cartel -exceptuando a Irán y Venezuela- disponen de 2,8 mbd de capacidad de producción suplementaria (dos terceras partes en Arabia Saudita), según los cálculos de la AIE.|'En caso de pérdida importante de la producción procedente de Venezuela, los medios potenciales para evitar una grave perturbación del mercado están al alcance de la mano' indica la agencia.|Según un informe de la OPEP publicado el jueves, la producción de crudo en Venezuela cayó durante febrero, antes del apagón, en 142 mil barriles al día hasta poco más de 1 mbd.;2.1;15/03/2019;15/03/2019 10:03 am;35400;http://mmedia.eluniversal.com/17962/platts-produccion-de-crudo-local-cayo-en-60-mil-barriles-19284.jpg;NO_TIENE;EU;economia;La Agencia internacional de Energía comentó 'no estar segura' de la durabilidad de las reparaciones;AIE expresa su preocupación por la caída de petróleo en Venezuela debido al apagón;http://www.eluniversal.com/economia/35400/aie-expresa-preocupacion-por-caida-de-petroleo-en-venezuela-por-apagon
8;Diario El Universal;La compañía Metro de Caracas anunció el servicio de trenes fue restablecido en todas las estaciones de la línea 1 del sistema. Mientras que las líneas 2, 3 y 4 continúan con sus operaciones de forma regular.;2.3;15/03/2019;15/03/2019 09:28 am;35392;http://mmedia.eluniversal.com/17897/metro-14430.jpg;NO_TIENE;EU;caracas;La compañía anunció que el servicio de trenes en la línea 1 se encuentra restablecido en su totalidad por ambas vías. Además las líneas 2, 3 y 4 se mantienen operando con normalidad;Metro de Caracas restableció totalmente operaciones en todas sus líneas;http://www.eluniversal.com/caracas/35392/metro-de-caracas-restablecio-totalmente-operaciones-en-todas-sus-lineas
9;Diario El Universal;Caracas.- Especialistas de la industria eléctrica rechazaron la versión oficial del “ataque cibernético” al Sistema Eléctrico Nacional (SEN), como causa fundamental del inédito apagón que sobrepasó el dintel de las 72 horas en la casi totalidad del territorio nacional, ocasionando un colapso en la cotidianidad del país, en los sistemas de transporte  masivo, telecomunicaciones y en la economía.|MARIELA LEÓN|El Gobierno en esta ocasión, nuevamente endosó la raíz de la importante falla del sistema a un hecho deliberado, esta vez lo calificó de “sabotaje electromagnético” con epicentro en la central hidroeléctrica de Guri (Bolívar), proveniente de Estados Unidos.|Voceros de Corpoelec y el Ministerio de Energía Eléctrica no han ofrecido detalles de la reciente ocurrencia.|El presidente Nicolás Maduro, ordenó la creación de una comisión que  investigará los hechos,  liderada por la vicepresidenta Delcy Rodríguez y la cual contará con la asesoría de Rusia, China, Irán y Cuba, países conocedores de ciberataques.|Miguel Lara, exgerente general de la Oficina de Operación de Sistemas Interconectados (Opsis) y José Aguilar, consultor de sistemas eléctricos, señalaron a pocas horas del apagón que  “por su amplitud geográfica, es innegable que ocurrió entre los tramos de la subestación San Gerónimo B y el Guri B entre las cuales se encuentra la subestación Malena”.|el ministro Luis Motta Domínguez supervisó este jueves la Subestación San Gerónimo B verificando el funcionamiento del Sistema 765 kV”, dijo la empresa a través de @CorpoelecGUA.|Los especialistas argumentaron que “no es posible” un ataque cibernético, posición coincidente con un documento elaborado por la  Facultad de Ingeniería de  la Universidad Central de Venezuela (UCV).|Sostienen los analistas que  la fuente hidroeléctrica del Bajo Caroní, básicamente del embalse de Guri, suministra casi 80% de la energía eléctrica del país, mientras que el parque termoeléctrico, está altamente indisponible, carece de mantenimiento y de combustibles, así como de personal especializado para encarar estas situaciones.|“De los 19.000 megavatios (MW) térmicos instalados en el país, solo funcionan unos 2.000 a 2.500 MW. Esto es inexcusable. El Zulia y los Andes en la cola del SEN, muy afectados desde hace algunos años de manera recurrente”, resaltó Aguilar.|En su opinión “otros factores además del incidente que sirvió de espoleta es lo que pudo haber pasado en el Centro Regional de Guayana,  en Puerto Ordaz, desde donde se comanda la  Red Troncal de Transmisión (RTT) a través de un mecanismo de control que se llama Sistema de Supervisión y Control de Datos (Scada), el cual también interactúa con el sistema AGC o en castellano, Sistema de Control Automático de Generación de la Casa de Máquinas II (CMII) de Guri”.|Destaca que un ataque cibernético “no es posible ya que los lazos de comunicaciones entre el Scada y el AGC no tienen conectividad con el mundo exterior para evitar este tipo de acciones”.|Entretanto, el informe de la UCV advierte que el apagón “se produjo por un incendio que afectó tres líneas de transmisión y sacó de sincronía a Guri”.|O bien, “que las turbinas de la CMII sufrió daños que obligarán al racionamiento”.|Asimismo señala que la inoperatividad del Guri recargó a la generación térmica, que de todas formas perdió la sincronía necesaria para usar la red de transmisión y se desconectaron de forma automática.;2.10;15/03/2019;15/03/2019 05:30 am;35372;http://mmedia.eluniversal.com/17965/se-restablece-servicio-electrico-en-algunas-zonas-de-caracas-19310.jpg;NO_TIENE;EU;economia;Expertos señalan que los mecanismos de control no tienen conectividad externa;Analistas descartan “ataque  cibernético” en el apagón;http://www.eluniversal.com/economia/35372/analistas-descartan-ataque-cibernetico-en-el-apagon
